MatchName,Filename,DisplayName,Artist,SampleRate,SampleLength,TrackStart,TrackDrop,TrackLoopStart,TrackLoopEnd,PostDrop,PostRaceLoopStart,PostRaceLoopEnd,DJSegment,StingerStart,DJStart,End
backlight,backlight.wav,backlight,,48000,11417378,0,,4050576,11122080,6026688,4050576,11122080,11122080,11122080,11122080,11417377
bouquet,bouquet.wav,bouquet,,48000,10973359,0,,2692416,8790336,5777760,2692416,8790336,8790336,8790336,8790336,10973358
Chikamoto,Chikamoto.wav,Chikamoto,,48000,11594804,0,,2814144,9472656,5712816,2814144,9472656,9472656,9472656,9472656,11594803
Continuation Of The World,Continuation Of The World.wav,Continuation Of The World,,48000,13823359,0,,5445024,12723360,7709184,5445024,12723360,12723360,12723360,12723360,13823358
DIGNITY,DIGNITY.wav,DIGNITY,,48000,12132196,0,,2735376,9026736,6025872,2735376,9026736,9026736,9026736,9026736,12132195
early summer,early summer.wav,early summer,,48000,10966399,0,,973488,10603584,5720160,973488,10603584,10603584,10603584,10603584,10966398
emptiness,emptiness.wav,emptiness,,48000,9037089,0,,23952,8305968,6633984,23952,8305968,8305968,8305968,8305968,9037088
EpisodeX,EpisodeX.wav,EpisodeX,,48000,9742194,0,,4583424,9483792,1905792,4583424,9483792,9483792,9483792,9483792,9742193
GodLike,GodLike.wav,GodLike,,48000,9816319,0,,331008,9016416,7048848,331008,9016416,9016416,9016416,9016416,9816318
Hanabe,Hanabe.wav,Hanabe,,48000,10193672,0,,1414848,5104800,2754481,1414848,5104800,5104800,5104800,5104800,10193671
"Love,Love,Love","Love,Love,Love.wav","Love,Love,Love",,48000,12401919,0,,4534080,10690512,6950208,4534080,10690512,10690512,10690512,10690512,12401918
newera,newera.wav,newera,,48000,10954292,0,,1884432,10311312,4210032,1884432,10311312,10311312,10311312,10311312,10954291
Over study,Over study.wav,Over study,,48000,10361240,0,,3332736,6558384,2842835,3332736,6558384,6558384,6558384,6558384,10361239
Show,Show.wav,Show,,48000,9109090,0,,3180660,7455958,3176638,3180660,7455958,7455958,7455958,7455958,9109089
Sorry For Cute,Sorry For Cute.wav,Sorry For Cute,,48000,10518399,0,,3331189,9770967,1874526,3331189,9770967,9770967,9770967,9770967,10518398
strongest,strongest.wav,strongest,,48000,12379927,0,,3998876,10898087,2762442,3998876,10898087,10898087,10898087,10898087,12379926
Unsolvablemind,Unsolvablemind.wav,Unsolvablemind,,48000,12954879,0,,3846423,10366330,3846423,3846423,10366330,10366330,10366330,10366330,12954878
Wanna See You,Wanna See You.wav,Wanna See You,,48000,14138057,0,,2467427,11538204,2034855,2467427,11538204,11538204,11538204,11538204,14138056
Whereabouts Unknown,Whereabouts Unknown.wav,Whereabouts Unknown,,48000,9270865,0,,2657088,5412588,2657088,2657088,5412588,5412588,5412588,5412588,9270864
Where Wind Goes,Where Wind Goes.wav,Where Wind Goes,,48000,13078399,0,,2693738,10098419,2440581,2693738,10098419,10098419,10098419,10098419,13078398
Cherry,Cherry.wav,Cherry,,48000,15914879,0,,1386279,14627976,4924023,1386279,14627976,14627976,14627976,14627976,15914878
nextday,nextday.wav,nextday,,48000,11823999,0,,0,11266577,5902771,0,11266577,11266577,11266577,11266577,11823998
ClownNight,ClownNight.wav,ClownNight,,48000,10034999,0,,773851,7613191,1275131,773851,7613191,7613191,7613191,7613191,10034998
Asura,Asura.wav,Asura,,48000,9421685,0,,199921,8178384,5504304,4192272,8178384,8178384,8178384,8178384,9421684
